"cod_articolo","barcode","confezione"
"01.0101.0401","6417489020162","5"
"01.0101.0401","8001348125198","1"
"01.0101.0401","8001348125204","5"
"01.0101.0401","8005235212473","1"
"01.0101.0401","8005235620759","5"
"01.0101.0401","8005235712478","5"
"01.0101.0401","8021047441511","5"
"01.0101.0401","8021047441016","1"
"01.0101.0401","1001000007845","5"
"01.0101.0401","8033324511527","5"
"01.0101.0402","8001348103387","1"
"01.0101.0402","8001348107217","5"
"01.0101.0402","8001348120094","5"
"01.0101.0402","8001348120520","5"
"01.0101.0402","1001000007852","1"
"01.0101.0403","8001348102984","1"
"01.0101.0403","8001348107125","5"
"01.0101.0403","8001348119791","1"
"01.0101.0403","8001348120223","5"
"01.0101.0403","1001000007869","5"
"01.0101.0408","8051411080565","5"
"01.0101.0408","1001000970439","5"
"01.0101.0430","1001000292043","5"
"01.0101.0430","5602007304607","5"
"01.0101.0430","5602007304591","1"
"01.0101.0440","1001000352655","1"
"01.0101.0440","8023485069951","1"
"01.0101.0440","8023485239897","5"
"01.0101.0701","8001348103011","1"
"01.0101.0701","8001348107156","5"
"01.0101.0701","8001348119845","1"
"01.0101.0701","8021047409023","1"
"01.0101.0701","8021047409528","50"
"01.0101.0701","1001000007920","1"
"01.0101.0801","8001348103141","1"
"01.0101.0801","8001348107163","5"
"01.0101.0801","8001348117483","5"
"01.0101.0801","8001348119852","1"
"01.0101.0801","8001348120285","5"
"01.0101.0801","1001000007937","1"
"01.0101.9001","1001000267232","5"
"01.0101.9001","4011937011690","5"
"01.0101.9001","4011937011683","1"
"01.0101.9003","1001000267522","1"
"01.0101.9003","8007057701265","5"
"01.0101.9003","8007057616040","1"
"01.0102.0100","1910000001824","1"
"01.0102.0100","8001348130574","1"
"01.0102.0100","8001348131083","10"
"01.0101.0201","8001348102991","1"
"01.0101.0201","8001348107132","5"
"01.0101.0201","1001000007814","1"
"01.0101.0290","1001000375548","5"
"01.0101.0290","8001348107224","5"
"01.0101.0301","8021047409061","1"
"01.0101.0301","8021047421544","5"
"01.0101.0301","8021047441085","1"
"01.0101.0301","8021047999029","1"
"01.0101.0301","8021047999524","5"
"01.0101.0301","6417489002281","1"
"01.0101.0301","6417489020209","5"
"01.0101.0301","8005235212459","1"
"01.0101.0301","8005235712454","5"
"01.0101.0301","8009270007346","5"
"01.0101.0301","8021047421025","1"
"01.0101.0301","8021047421520","5"
"01.0101.0301","1001000007821","1"
"01.0101.0301","8001348107170","5"
"01.0101.0301","8001348103158","1"
"01.0101.0301","8033324511541","5"
"01.0101.0301","8033324511534","1"
"01.0101.0301","8021047441528","5"
"01.0101.0301","8021047441023","1"
"01.0101.0301","8021047409047","1"
"01.0101.0301","8021047409542","5"
"01.0101.0320","1001000334453","5"
